name,pca_x,pca_y
813.jpg,3.1464453,33.916073
461.jpg,-12.168598,-13.131142
545.jpg,1.6985587,-10.37149
937.jpg,-6.179524,39.844425
683.jpg,-10.644601,-13.817929
124.jpg,-15.670143,6.90223
652.jpg,22.304527,-11.568586
233.jpg,22.655956,2.981171
594.jpg,21.646276,4.283053
32.jpg,21.407864,-10.501261
930.jpg,3.8953578,11.717863
542.jpg,-21.761742,-15.197214
123.jpg,11.236838,-7.6586447
684.jpg,-10.287165,-8.847012
655.jpg,29.218056,5.422695
593.jpg,18.951843,3.4346366
234.jpg,22.843931,-11.622912
9.jpg,-3.476242,-1.3807696
868.jpg,0.12934653,33.10231
35.jpg,-9.677094,3.7382147
299.jpg,-6.950379,-7.236632
629.jpg,24.596977,-0.74520594
248.jpg,14.615403,-12.780932
771.jpg,29.02032,5.844588
310.jpg,-10.483559,8.3815155
98.jpg,19.324806,2.3086643
466.jpg,-9.262345,-19.732195
814.jpg,2.0413165,32.6765
49.jpg,19.284306,-9.16766
879.jpg,4.25546,23.796223
24.jpg,8.62057,-2.4833856
644.jpg,-9.258547,-5.697371
225.jpg,7.2246304,0.9992033
582.jpg,-24.46972,8.558584
553.jpg,-1.1065867,-2.8195455
921.jpg,-4.2397404,26.056864
695.jpg,32.52581,6.785129
132.jpg,-7.47235,-16.042305
805.jpg,6.520097,37.073597
477.jpg,-26.53876,-16.624027
58.jpg,19.97864,-9.648599
760.jpg,39.266117,8.937022
1021.jpg,7.597056,29.46882
89.jpg,11.489037,-3.1671774
301.jpg,0.4785813,-5.791901
638.jpg,-9.211875,12.764752
259.jpg,8.60768,-8.953342
288.jpg,3.7633398,-25.388811
470.jpg,-22.885336,-14.863346
802.jpg,8.104084,30.094843
767.jpg,-1.7467207,-29.984575
306.jpg,7.442958,-8.815292
198.jpg,-4.7676997,-15.608239
528.jpg,-22.828318,8.534767
149.jpg,-9.09699,11.531494
23.jpg,4.922167,-3.509228
643.jpg,10.476189,-2.9462137
585.jpg,1.5068974,-17.663912
222.jpg,-14.201454,-4.494883
926.jpg,0.36363295,29.361286
554.jpg,7.080553,-8.27691
135.jpg,19.29102,-6.073268
692.jpg,23.89951,-0.62865007
51.jpg,-13.85017,-13.386514
769.jpg,-4.4170446,-19.5642
308.jpg,-10.801357,-9.9029
80.jpg,25.060312,-12.553927
631.jpg,-21.072836,-13.893514
196.jpg,-7.1826005,-13.148779
250.jpg,7.3859973,-14.078022
985.jpg,0.12266803,27.901903
281.jpg,-20.205519,-10.290915
954.jpg,1.5709172,27.544357
526.jpg,-1.3376994,-31.46326
147.jpg,13.27591,-5.022294
402.jpg,-21.20028,5.052719
870.jpg,-2.175307,36.034653
715.jpg,-7.0694394,-26.268711
374.jpg,-24.171053,8.814886
928.jpg,0.15677075,33.33277
877.jpg,8.539636,20.368534
405.jpg,-1.7163233,-30.603426
712.jpg,-7.1453347,-26.730047
373.jpg,9.416807,-13.347941
56.jpg,-12.43541,-11.612907
479.jpg,-5.2785025,6.5298
87.jpg,0.16728151,-13.520629
191.jpg,-23.022678,7.6643825
636.jpg,-10.664026,-17.50346
982.jpg,2.027493,20.052073
257.jpg,8.805169,1.1235331
521.jpg,-9.653073,15.70214
953.jpg,7.5840397,23.409477
286.jpg,-19.902092,-26.285883
140.jpg,-14.394841,-10.939928
893.jpg,-7.3169084,40.128216
346.jpg,-16.082678,-23.112333
727.jpg,18.957104,-11.651852
842.jpg,-2.7747881,32.392624
430.jpg,8.307547,-9.622605
397.jpg,-7.117622,-0.6097977
109.jpg,-0.8916123,-7.844942
568.jpg,8.75547,-7.4589415
63.jpg,20.630138,-11.306531
175.jpg,24.264132,4.7691016
514.jpg,25.699837,4.7205153
966.jpg,0.90871197,19.851784
262.jpg,26.733976,5.399085
603.jpg,27.380127,8.680965
839.jpg,10.332382,26.59374
64.jpg,-18.751379,-13.851342
172.jpg,-5.8245144,-5.576042
961.jpg,9.876202,37.793743
513.jpg,21.052973,4.0361986
265.jpg,-8.98041,16.162992
604.jpg,14.085867,-1.5222968
341.jpg,-9.085937,5.178357
894.jpg,-8.58475,40.078094
720.jpg,19.176226,-6.1019373
390.jpg,-19.031055,4.3542976
437.jpg,-15.232541,-22.650377
845.jpg,7.4408073,30.367474
18.jpg,32.790512,8.923459
219.jpg,-19.615225,5.784837
678.jpg,-26.117702,-9.80481
1013.jpg,8.504435,20.883526
494.jpg,-15.482125,-13.358897
333.jpg,-4.796301,2.1246378
752.jpg,39.214394,8.462833
783.jpg,6.8554964,-11.519173
445.jpg,-13.387497,-28.689558
837.jpg,-0.3941533,37.43943
16.jpg,39.797695,7.8044744
439.jpg,-17.96842,-0.60591894
100.jpg,24.195374,-12.8562565
913.jpg,-3.3046196,35.089054
561.jpg,-9.325922,14.165818
217.jpg,-12.765699,-14.651303
676.jpg,8.765682,-9.21793
348.jpg,16.347473,2.2479324
729.jpg,38.618744,8.94665
11.jpg,-10.31313,-0.95053506
399.jpg,23.075022,-2.0099974
107.jpg,12.297203,-3.0536141
566.jpg,-11.992995,-9.672297
914.jpg,-2.7614129,28.468895
210.jpg,-10.731439,1.7412616
671.jpg,7.5030193,-19.835604
1014.jpg,1.5228796,17.759218
334.jpg,-20.10453,6.267448
493.jpg,-15.808044,-16.123098
755.jpg,32.014133,6.958382
784.jpg,-21.749952,7.6751637
830.jpg,-4.552384,32.643333
442.jpg,-15.977134,-23.097607
968.jpg,27.353504,6.87408
931.jpg,8.153327,23.156044
543.jpg,4.1024547,-7.080623
685.jpg,-8.93818,-8.847281
122.jpg,-21.308664,-9.276467
654.jpg,1.8107303,3.7499068
8.jpg,-11.83394,-4.2091928
235.jpg,37.714455,7.167797
592.jpg,-11.788044,-14.461429
34.jpg,21.112137,-10.81156
869.jpg,6.5641823,21.663729
298.jpg,21.749039,-0.67646575
628.jpg,-5.590943,-18.00365
249.jpg,11.666254,-12.810161
770.jpg,-17.42902,-10.978989
99.jpg,-2.0339475,-14.320854
311.jpg,-6.6360292,11.112051
48.jpg,29.44358,6.6295075
467.jpg,22.751036,4.6516585
815.jpg,6.181189,36.492516
538.jpg,-4.692651,-8.59802
159.jpg,25.102545,-13.461573
188.jpg,0.789673,-7.5921144
777.jpg,12.987618,-1.9305028
